step,loss_total,loss_per_pos,grad_norm_total,grad_norm_per_pos,grad_ratio_per_pos,handle_ratio,dd_per_pos,cos_per_pos
5000,1.633770227432251,"[1.5346381664276123, 2.304129123687744, 2.310053825378418, 2.2994065284729004, 2.310729503631592, 2.309739828109741, 0.0014545393642038107, 1.0481013305252418e-05]",1.0200427770614624,"[2.4954833984375, 3.0281293392181396, 3.5542056560516357, 2.6933867931365967, 2.212468147277832, 4.47289514541626, 0.02215120755136013, 0.000334971584379673]","[2.446449751476585, 2.968629754863389, 3.484369220564049, 2.6404645508060955, 2.168995454927397, 4.385007419298403, 0.021715959418068028, 0.00032838974199166294]","[1.6261053085327148, 1.314218521118164, 1.538581371307373, 1.171339988708496, 0.957476019859314, 1.9365363121032715, 15.228914260864258, 31.929384231567383]","[1.1808115243911743, 2.025568962097168, 2.108330488204956, 1.2950142621994019, 0.5273605585098267, 1.187330961227417, -0.0005171907832846045, -1.6190986116271233e-06]","[0.46388199167694694, 0.6557740510466817, 0.5815375339243477, 0.4713651174715924, 0.2336749905317813, 0.2602343913553255, -0.022889430404470966, -0.004738566153120404]"
5500,1.6201568841934204,"[1.3939757347106934, 2.3055591583251953, 2.3146965503692627, 2.3225040435791016, 2.3199973106384277, 2.3002257347106934, 0.004291614983230829, 5.766709818999516e-06]",1.2773878574371338,"[2.948399782180786, 3.573821783065796, 3.8195323944091797, 4.13820743560791, 2.5035386085510254, 2.260969877243042, 0.37246182560920715, 0.00023965338186826557]","[2.308147650703569, 2.7977577540435328, 2.990111712876648, 3.239585699452737, 1.9598891550245037, 1.7699948093911757, 0.29158084088609537, 0.00018761207136342302]","[2.1151010990142822, 1.5500890016555786, 1.6501222848892212, 1.7817870378494263, 1.0791127681732178, 0.9829339385032654, 86.7880630493164, 41.48613739013672]","[2.246471405029297, 1.7385436296463013, 2.3759312629699707, 3.4951632022857666, 2.6835951805114746, 0.4818764626979828, 0.03217675909399986, -7.416253424707975e-07]","[0.5964743065215402, 0.3808289180180792, 0.4869685240426389, 0.6611993517902248, 0.839150632816195, 0.16684690457459236, 0.06762974467577054, -0.002422580496076087]"
6000,1.5998810529708862,"[1.2440884113311768, 2.3132617473602295, 2.3409783840179443, 2.30652117729187, 2.3110344409942627, 2.2825520038604736, 0.0006086319917812943, 4.330633601057343e-06]",1.1249098777770996,"[2.7908356189727783, 2.4128024578094482, 4.211066246032715, 2.601745367050171, 2.6334004402160645, 4.185601711273193, 0.009754683822393417, 0.00013305155152920634]","[2.480941517277512, 2.1448851196660432, 3.7434698807642044, 2.3128478275889988, 2.3409879246681053, 3.7208329253399697, 0.00867152472842478, 0.0001182775208553822]","[2.2432775497436523, 1.0430305004119873, 1.7988488674163818, 1.127995491027832, 1.1394898891448975, 1.8337377309799194, 16.02696418762207, 30.65256690979004]","[0.5870110988616943, 0.7496735453605652, 3.62241268157959, 1.524613618850708, 1.1062297821044922, 2.533731460571289, -0.000295683421427384, 7.135208761610556e-07]","[0.18697964256071148, 0.2762057330471943, 0.7646947731911345, 0.5209274880275994, 0.3734312963658761, 0.5381272117370677, -0.02694610807886833, 0.004767261890282809]"
6500,1.5935781002044678,"[1.2150373458862305, 2.317826747894287, 2.3116464614868164, 2.3180036544799805, 2.2896952629089355, 2.2951345443725586, 0.0012789962347596884, 1.976263320102589e-06]",1.1370800733566284,"[3.172538995742798, 4.024026393890381, 3.199650287628174, 4.2525634765625, 2.572376251220703, 4.367217063903809, 0.07383217662572861, 6.207085971254855e-05]","[2.790075272691704, 3.538912068005526, 2.8139181774445277, 3.7398979862597117, 2.26226482329175, 3.840729572379108, 0.06493137849806663, 5.458794078531085e-05]","[2.611063003540039, 1.7361204624176025, 1.3841434717178345, 1.8345800638198853, 1.123457908630371, 1.9028152227401733, 57.72620391845703, 31.25006675720215]","[1.7604807615280151, 3.4220354557037354, 0.5679364800453186, 3.0680594444274902, 0.2748441696166992, 1.2502074241638184, 4.4726242776960135e-05, 4.611844062196724e-08]","[0.48801510632219935, 0.747881233186966, 0.15610118603954093, 0.634485813570488, 0.09396389010295773, 0.2517597197750688, 0.0005327527449789216, 0.0006534250877078228]"
7000,1.5815601348876953,"[1.1467335224151611, 2.2999513149261475, 2.3015761375427246, 2.3046467304229736, 2.298123836517334, 2.3008227348327637, 0.0006241304217837751, 1.9837120817101095e-06]",0.9783737063407898,"[2.1152877807617188, 3.3735058307647705, 3.209940195083618, 1.8588829040527344, 2.343597888946533, 3.8279075622558594, 0.03537169471383095, 7.817762525519356e-05]","[2.162044796433763, 3.448074911356726, 3.280893767156824, 1.8999722621380866, 2.3954015462167426, 3.9125208879259397, 0.03615356226827112, 7.990568915387687e-05]","[1.8446201086044312, 1.4667726755142212, 1.3946704864501953, 0.8065804243087769, 1.0197874307632446, 1.663712501525879, 56.67265319824219, 39.21209716796875]","[0.31074726581573486, 1.1086180210113525, 1.7293047904968262, 1.190458059310913, 0.4380795657634735, 2.877988576889038, 0.0025235097855329514, 7.967131665509442e-08]","[0.15015267818569963, 0.33588893412749254, 0.5506426300775445, 0.6545718035785922, 0.19105795513929114, 0.7684628046927112, 0.07291961256896735, 0.0010416330418470076]"
7500,1.6073529720306396,"[1.3171958923339844, 2.302098035812378, 2.3092334270477295, 2.309101104736328, 2.326070547103882, 2.2926533222198486, 0.002469185274094343, 2.086145286739338e-06]",1.2406749725341797,"[4.620362281799316, 2.2904796600341797, 2.5401105880737305, 2.0675458908081055, 4.085470676422119, 3.2709743976593018, 0.07895509153604507, 9.452309313928708e-05]","[3.724071480511814, 1.8461560930464234, 2.0473618347320635, 1.666468605056951, 3.2929419605178403, 2.636447474214838, 0.06363882022603622, 7.618682993678511e-05]","[3.507725954055786, 0.9949531555175781, 1.0999799966812134, 0.895389974117279, 1.7563830614089966, 1.4267200231552124, 31.976041793823242, 45.093772888183594]","[3.395559549331665, 1.3747111558914185, 1.3400872945785522, 1.1444118022918701, 3.5893166065216064, 1.4715535640716553, -0.0014465338317677379, 1.221587382360667e-07]","[0.5923485093629581, 0.48375670330881776, 0.425228577231392, 0.44613793077953756, 0.7081278075281541, 0.36261094489179374, -0.014766937356853468, 0.0010416662467238654]"
8000,1.6088900566101074,"[1.3546531200408936, 2.3078908920288086, 2.3071722984313965, 2.2982492446899414, 2.294234037399292, 2.307910203933716, 0.0010095343459397554, 1.5869667322476744e-06]",1.0983525514602661,"[2.9306130409240723, 3.7358391284942627, 3.402740716934204, 2.2337143421173096, 2.7537341117858887, 2.483396053314209, 0.031101373955607414, 5.6950044381665066e-05]","[2.668189769330262, 3.4013114673675977, 3.098040526614374, 2.0336952275911533, 2.5071495560553694, 2.2610190598751916, 0.028316385220991162, 5.185042298663544e-05]","[2.163367986679077, 1.6187243461608887, 1.474853277206421, 0.9719199538230896, 1.200284719467163, 1.0760366916656494, 30.80733871459961, 35.66138458251953]","[1.0836734771728516, 3.16027569770813, 1.5708062648773193, 1.0685205459594727, 1.1791871786117554, 1.587442398071289, 0.001121152425184846, -1.7810796748563007e-07]","[0.3366651814107539, 0.7701849744848208, 0.42029285169576414, 0.4355253931225851, 0.3898692483611814, 0.5819829018220722, 0.03282035863142891, -0.0028473936851820406]"
8500,1.5934852361679077,"[1.2453275918960571, 2.2764089107513428, 2.2968215942382812, 2.3239665031433105, 2.2981791496276855, 2.3065171241760254, 0.0006585756200365722, 2.2351409825205337e-06]",0.9887269735336304,"[3.14149808883667, 3.1551032066345215, 2.7724356651306152, 4.9574127197265625, 2.878986358642578, 3.975602626800537, 0.018069790676236153, 0.000151810614624992]","[3.1773160568374195, 3.1910762941547324, 2.8040457470500213, 5.013934941017306, 2.911811284315743, 4.0209306848300645, 0.01827581441584038, 0.00015354149192717292]","[2.522627830505371, 1.386000156402588, 1.2070748805999756, 2.1331686973571777, 1.2527248859405518, 1.723638892173767, 27.437267303466797, 67.6174087524414]","[1.4721719026565552, 0.16596804559230804, 0.0016954261809587479, 2.7894177436828613, 0.9591642618179321, 2.432575225830078, -0.00034322289866395295, -5.746638862547115e-07]","[0.4739639852384727, 0.053202804678715694, 0.0006185018826385266, 0.5690915014003977, 0.336958952390918, 0.6188521843602053, -0.0192108575113014, -0.0038285593564491675]"
9000,1.5423390865325928,"[0.8828546404838562, 2.201653480529785, 2.313817024230957, 2.302318572998047, 2.3037004470825195, 2.3120687007904053, 0.022298157215118408, 1.1529630228324095e-06]",1.1597036123275757,"[2.625765085220337, 5.043140888214111, 3.6709020137786865, 2.3107757568359375, 2.5321457386016846, 4.232218265533447, 1.4831483364105225, 0.0002099562989315018]","[2.2641691008880382, 4.348646356367131, 3.1653794769260277, 1.9925571777758886, 2.183442141323987, 3.6493964669465853, 1.2789029202330233, 0.00018104306712480645]","[2.9741759300231934, 2.2906150817871094, 1.586513638496399, 1.0036733150482178, 1.0991644859313965, 1.8304897546768188, 66.51436614990234, 180.53565979003906]","[1.1248770952224731, 3.853431224822998, 2.7943267822265625, -0.8826625347137451, -0.2902016043663025, 3.9238717555999756, 0.23565644025802612, 1.195776690110506e-06]","[0.3694045110457942, 0.6588696476398749, 0.6563831007269697, -0.3293744296491011, -0.0988243806226992, 0.7994655196706699, 0.13700856391381983, 0.004911047840610236]"
9500,1.536137580871582,"[0.8335979580879211, 2.2406396865844727, 2.3119983673095703, 2.2985894680023193, 2.2825045585632324, 2.3062167167663574, 0.01555179338902235, 1.8421394543111091e-06]",1.140529751777649,"[3.3588857650756836, 4.3997626304626465, 3.4299676418304443, 4.305606365203857, 3.6466095447540283, 2.3366873264312744, 1.7354106903076172, 9.521160973235965e-05]","[2.945022486121443, 3.8576482758166564, 3.007346048171421, 3.7750934234666538, 3.1972945370959076, 2.048773670997424, 1.5215830078985462, 8.348016312942405e-05]","[4.029383182525635, 1.9636189937591553, 1.483551025390625, 1.8731515407562256, 1.597635269165039, 1.0132123231887817, 111.58902740478516, 51.40628433227539]","[1.014810562133789, 1.95261549949646, 1.9926577806472778, 1.1589184999465942, 2.50459623336792, 1.407598614692688, 0.3752669095993042, 6.701507686557306e-07]","[0.2649007123263153, 0.3891175930824197, 0.5093731838441038, 0.23599997361510977, 0.6022015097928973, 0.5281674208453573, 0.18959696611919155, 0.006171290545124015]"
10000,1.5591883659362793,"[0.9621009230613708, 2.260162353515625, 2.3141393661499023, 2.3113081455230713, 2.299448013305664, 2.32338285446167, 0.002954220399260521, 1.1405999430280644e-05]",1.5006163120269775,"[3.818554162979126, 4.677919864654541, 2.5055131912231445, 2.576146364212036, 3.41841197013855, 6.590860843658447, 0.4215919077396393, 0.001187847345136106]","[2.5446572400783536, 3.1173324101320596, 1.6696561080552224, 1.7167255504055343, 2.2780053387005266, 4.392102625324493, 0.28094583829371306, 0.0007915729927869472]","[3.9689745903015137, 2.0697274208068848, 1.0826976299285889, 1.1145837306976318, 1.486622929573059, 2.836751937866211, 142.70785522460938, 104.05110168457031]","[2.6918628215789795, 3.5175228118896484, 2.187398910522461, 1.0704618692398071, 1.1395180225372314, 7.409920692443848, -0.0018937725108116865, 2.1782420844829176e-06]","[0.4697689479133576, 0.5010885530493541, 0.5817838145800236, 0.2769051321670944, 0.22214018783602088, 0.7492068759785782, -0.00299340775198046, 0.001222013067837621]"
10500,1.5146913528442383,"[0.6903187036514282, 2.190537929534912, 2.309251546859741, 2.2997164726257324, 2.302852153778076, 2.323941230773926, 0.0009120726026594639, 9.331778301202576e-07]",1.4121414422988892,"[2.7410478591918945, 4.664956092834473, 2.4318900108337402, 3.378115177154541, 2.595771074295044, 3.7348458766937256, 0.03882294148206711, 8.114969386951998e-05]","[1.9410575860797756, 3.3034623537711485, 1.7221291989524479, 2.39219321518895, 1.8381806499986788, 2.644810048640454, 0.027492247107248322, 5.7465698150896774e-05]","[3.9706990718841553, 2.129593849182129, 1.053107500076294, 1.4689267873764038, 1.127198338508606, 1.6071171760559082, 42.565162658691406, 86.0385971069336]","[2.0387275218963623, 3.5886127948760986, 2.1833624839782715, 2.0938408374786377, 2.02215313911438, 4.027853488922119, -0.0014012237079441547, -1.286886572415824e-06]","[0.5267012739007785, 0.5447545198100462, 0.6357753949583094, 0.43892570417960197, 0.5516574083621435, 0.7636999842254938, -0.025558822440971348, -0.011229881798538389]"
11000,1.5265275239944458,"[0.715855598449707, 2.267547130584717, 2.309837579727173, 2.3151800632476807, 2.2933361530303955, 2.310049533843994, 0.00041351921390742064, 1.3783565577796253e-07]",1.0469504594802856,"[3.254990816116333, 3.055990695953369, 4.1511054039001465, 3.8100922107696533, 3.816070795059204, 2.8019216060638428, 0.013182228431105614, 9.974864042305853e-06]","[3.1090208582860126, 2.918944892072913, 3.9649492163753264, 3.6392287488569544, 3.644939223727483, 2.676269522298828, 0.012591071823636597, 9.527541587075145e-06]","[4.546993255615234, 1.347707748413086, 1.7971417903900146, 1.645700216293335, 1.6639822721481323, 1.2129271030426025, 31.87738037109375, 67.47265625]","[1.319051742553711, 1.023287296295166, 2.443659543991089, 0.8082084655761719, 1.1170434951782227, 2.057069778442383, 0.0005222955951467156, -7.272868174368341e-08]","[0.38706680940542243, 0.3198301656796622, 0.5622776305836132, 0.202610420006566, 0.27959379505259907, 0.701240372512361, 0.0378443803101283, -0.006964221875051963]"
11500,1.4977314472198486,"[0.5460239052772522, 2.1974921226501465, 2.295106887817383, 2.305748462677002, 2.3088412284851074, 2.327939987182617, 0.0006984248175285757, 9.31322148289837e-08]",1.3600428104400635,"[2.397874355316162, 2.336036205291748, 4.391256332397461, 2.464491844177246, 3.0710668563842773, 4.054376602172852, 0.034853845834732056, 6.273905910347821e-06]","[1.7630874093884528, 1.7176196126766674, 3.228763314425816, 1.8120693152150267, 2.2580663143909305, 2.9810654275367945, 0.025627021125500117, 4.6130209006566485e-06]","[4.391519069671631, 1.0630464553833008, 1.9133124351501465, 1.0688468217849731, 1.330133318901062, 1.7416155338287354, 49.90279006958008, 60.8336181640625]","[0.8902092576026917, 2.091038942337036, 4.31074333190918, 1.39372980594635, 2.4936466217041016, 3.6142592430114746, 0.004103218670934439, 4.785349894120827e-09]","[0.27296885893851214, 0.6581577089338759, 0.7217898939003582, 0.4158135367219063, 0.5970257446630782, 0.655454628311308, 0.08656082307944714, 0.0005608195151673256]"
12000,1.4833400249481201,"[0.4237884283065796, 2.163245439529419, 2.3492743968963623, 2.3292384147644043, 2.3038787841796875, 2.2971606254577637, 0.00013435009168460965, 9.12695270471886e-08]",1.4232127666473389,"[2.49509859085083, 3.9255142211914062, 4.72736120223999, 3.659783363342285, 5.510344982147217, 2.5210201740264893, 0.002153942361474037, 4.993236871086992e-06]","[1.7531451721927227, 2.758206160867104, 3.3216124201697763, 2.5714941919496925, 3.8717647222403238, 1.771358600137669, 0.0015134366497766018, 3.508426138454025e-06]","[5.887604236602783, 1.8146411180496216, 2.0122644901275635, 1.57123601436615, 2.39176869392395, 1.0974504947662354, 16.031118392944336, 49.30641174316406]","[0.7070564031600952, 0.5926974415779114, 5.463172912597656, 2.7780261039733887, 5.346476078033447, 1.3167626857757568, 8.618344145361334e-05, 3.195051689885986e-08]","[0.19911157965441678, 0.10608809884453364, 0.8120005603928054, 0.5333485428089815, 0.6817403635538675, 0.36699602399633235, 0.028113824134760344, 0.004495995718599902]"
12500,1.4688174724578857,"[0.43937790393829346, 2.062971353530884, 2.3293070793151855, 2.3028645515441895, 2.307741641998291, 2.3080828189849854, 0.00019338674610480666, 1.6018735493616987e-07]",1.2082794904708862,"[2.21124005317688, 3.418928384780884, 5.844185829162598, 2.9408016204833984, 3.431135654449463, 3.2594594955444336, 0.006809154991060495, 1.139355754276039e-05]","[1.8300733155001443, 2.829584058774739, 4.836783107925653, 2.433875310866462, 2.839687076962875, 2.6976039246301937, 0.005635413863068103, 9.42957124789078e-06]","[5.032660961151123, 1.6572834253311157, 2.5089805126190186, 1.2770189046859741, 1.4867936372756958, 1.4121935367584229, 35.20821762084961, 66.94715118408203]","[-0.09084432572126389, 1.9376566410064697, 5.475839614868164, 2.198991298675537, 0.898487389087677, 1.2591571807861328, 0.00022598099894821644, -8.390043149120174e-08]","[-0.03400122073667724, 0.4690502950947662, 0.7754598176738039, 0.6188571003329228, 0.21672384309206322, 0.31971790183748006, 0.027467004621000275, -0.006094491006997874]"
13000,1.4556803703308105,"[0.25625768303871155, 2.1499595642089844, 2.3119454383850098, 2.304570198059082, 2.309603691101074, 2.312652349472046, 0.00045422473340295255, 2.5518176016703364e-07]",1.1416738033294678,"[1.8185124397277832, 1.9373362064361572, 3.96683406829834, 3.0798473358154297, 3.4573702812194824, 3.7655954360961914, 0.05562112107872963, 3.884479883708991e-05]","[1.5928476544039534, 1.6969262155147085, 3.474577464009287, 2.697659635207236, 3.028334600598472, 3.298311150798565, 0.048718925595491056, 3.4024428627342303e-05]","[7.096421241760254, 0.9011035561561584, 1.7157992124557495, 1.3364084959030151, 1.4969539642333984, 1.6282583475112915, 122.4501724243164, 146.48367309570312]","[0.5200666189193726, 0.9268844127655029, 2.073831558227539, 1.6724371910095215, 2.8252172470092773, 2.4092214107513428, -0.00030514225363731384, -1.0579694276202645e-07]","[0.2504959258907373, 0.4190622571809638, 0.45791767672873407, 0.47564024171603214, 0.7157542217609122, 0.5604037325697845, -0.004805300764277058, -0.0023856031816461617]"
