step,loss_total,loss_per_pos,grad_norm_total,grad_norm_per_pos,grad_ratio_per_pos,handle_ratio,dd_per_pos,cos_per_pos
5000,1.5247080326080322,"[1.7919306755065918, 2.2620320320129395, 2.315335273742676, 2.330920696258545, 2.015723466873169, 1.4744701385498047, 0.007235572207719088, 1.6810001397971064e-05]",2.693881034851074,"[7.055853366851807, 9.471927642822266, 5.463097095489502, 5.833380699157715, 8.257984161376953, 8.598115921020508, 0.6125501394271851, 0.0008591702207922935]","[2.6192149079968097, 3.5160898051111977, 2.0279652385583233, 2.1654188227655724, 3.0654598531050126, 3.1917207218082804, 0.22738574254116928, 0.0003189339876843489]","[3.937570571899414, 4.187353134155273, 2.359527349472046, 2.502607822418213, 4.0967841148376465, 5.831326007843018, 84.65803527832031, 51.08026885986328]","[8.024251937866211, 16.91785430908203, 5.9161577224731445, 7.566293716430664, 10.323123931884766, 9.160568237304688, 0.14777907729148865, -7.0573078119196e-05]","[0.42215952854415006, 0.6630228502122898, 0.40199662921109436, 0.481486886031084, 0.46404348829276215, 0.39549473401366647, 0.08955563027013658, -0.030491685483716436]"
5500,1.5155847072601318,"[1.8361186981201172, 2.194287061691284, 2.3115391731262207, 2.2616915702819824, 2.1654720306396484, 1.3501759767532349, 0.005374961532652378, 1.7911648683366366e-05]",4.842141151428223,"[12.455492973327637, 7.172575950622559, 5.2310662269592285, 4.062305450439453, 23.62060546875, 17.88692283630371, 0.32198718190193176, 0.0009857177501544356]","[2.5723110053604703, 1.4812818805389343, 1.0803208876751331, 0.8389481684649462, 4.878132365427419, 3.6940110329141977, 0.06649685992878573, 0.0002035706352475271]","[6.78359842300415, 3.268749952316284, 2.2630228996276855, 1.7961359024047852, 10.907832145690918, 13.247845649719238, 59.904911041259766, 55.00150680541992]","[22.202146530151367, 3.702208995819092, 7.3648600578308105, 3.3729710578918457, 90.27560424804688, 60.638343811035156, 0.014006697572767735, 0.000501972739584744]","[0.36812609019576203, 0.10659782187787296, 0.29076145635568346, 0.17147570376323515, 0.7892996914533501, 0.7001228506049202, 0.00898379272590595, 0.10516957293862167]"
6000,1.455154299736023,"[1.684230089187622, 2.2244925498962402, 2.3204164505004883, 2.1890785694122314, 1.9874454736709595, 1.2270783185958862, 0.008482083678245544, 1.0649933756212704e-05]",5.0742268562316895,"[9.223723411560059, 16.598163604736328, 7.669459342956543, 7.758268356323242, 12.750983238220215, 31.954673767089844, 2.3915340900421143, 0.0008021420799195766]","[1.8177593696332963, 3.271072436257362, 1.511453776162497, 1.5289557554556839, 2.5128918354449707, 6.297446817507994, 0.4713100454121511, 0.00015808163541889363]","[5.476521968841553, 7.461550712585449, 3.305208206176758, 3.544079542160034, 6.415764808654785, 26.04126739501953, 281.9508972167969, 75.2483139038086]","[15.781814575195312, 39.17909240722656, 7.778041839599609, 4.957810878753662, 8.60899543762207, 126.3414306640625, 3.3353352546691895, -0.0003185269597452134]","[0.3371947354215762, 0.4651836592741196, 0.1998644928452989, 0.12593756120618313, 0.13305736641108393, 0.7791866854110461, 0.2748482895311773, -0.07825732830444998]"
6500,1.4226983785629272,"[1.5108259916305542, 2.105224370956421, 2.306293487548828, 2.214827537536621, 1.9244574308395386, 1.3152053356170654, 0.004746126942336559, 7.2343918873229995e-06]",4.870314598083496,"[13.031253814697266, 10.335230827331543, 5.062557220458984, 21.645044326782227, 16.620773315429688, 28.429658889770508, 1.3426121473312378, 0.0005371111328713596]","[2.6756492937489416, 2.1220869040777224, 1.039472321244122, 4.444280526621362, 3.4126693421345062, 5.837335210533994, 0.27567257110240173, 0.00011028263617358859]","[8.625251770019531, 4.909325122833252, 2.1951053142547607, 9.77278995513916, 8.636602401733398, 21.61613655090332, 282.88525390625, 74.14164733886719]","[25.273635864257812, 5.627780914306641, 5.126572608947754, 57.39521408081055, 29.437786102294922, 65.90339660644531, 0.9952552318572998, 5.078881076769903e-05]","[0.39822131746059214, 0.11180468086600387, 0.20792186042479993, 0.5444527367725917, 0.3636611465264926, 0.47596951089799444, 0.15220428585456142, 0.019415423775812814]"
7000,1.375338077545166,"[1.3223811388015747, 2.163426399230957, 2.281167507171631, 2.2324187755584717, 1.8742185831069946, 1.1199500560760498, 0.00913918949663639, 2.9001232633163454e-06]",5.319884300231934,"[9.790085792541504, 19.88551139831543, 6.566527843475342, 11.368300437927246, 15.920658111572266, 16.205806732177734, 3.5417897701263428, 0.0001602793636266142]","[1.8402817129152003, 3.737959375817341, 1.2343365894609883, 2.1369450530026786, 2.992669993006834, 3.046270523490746, 0.6657644358866845, 3.012835516359377e-05]","[7.403377056121826, 9.19167423248291, 2.878582000732422, 5.092369079589844, 8.49455738067627, 14.470115661621094, 387.53826904296875, 55.07648849487305]","[25.777877807617188, 70.59066772460938, 14.061790466308594, 29.583709716796875, 39.16441345214844, 47.791873931884766, -0.5609687566757202, -2.384476647421252e-05]","[0.4949467489708602, 0.6672803539551099, 0.4025340705637008, 0.489164467623227, 0.4624112839624051, 0.5543463818093182, -0.029772390553784958, -0.027964900402972837]"
7500,1.3491663932800293,"[1.4061886072158813, 2.125169277191162, 2.294978380203247, 2.3010244369506836, 1.7689125537872314, 0.8960978388786316, 0.0009562134509906173, 3.54633675669902e-06]",8.275032997131348,"[14.26798152923584, 27.943214416503906, 7.5412702560424805, 29.883556365966797, 19.671735763549805, 15.769133567810059, 0.16611585021018982, 0.0004587605071719736]","[1.72422049968647, 3.3768100291794365, 0.9113281190125482, 3.611291504979658, 2.3772395554639214, 1.9056278776503541, 0.020074342938303222, 5.543911514685309e-05]","[10.146563529968262, 13.148700714111328, 3.285987377166748, 12.987065315246582, 11.120807647705078, 17.597558975219727, 173.72073364257812, 128.998046875]","[65.41728210449219, 161.05531311035156, 25.010618209838867, 179.50985717773438, 59.83391571044922, 56.770389556884766, 0.21108819544315338, 0.0009034237009473145]","[0.554064370999939, 0.6965125707411274, 0.40078382671407914, 0.725915862631858, 0.3675657263890515, 0.4350551443487914, 0.15356178073451007, 0.23797740335699605]"
8000,1.5133758783340454,"[1.8809363842010498, 2.206515312194824, 2.3257904052734375, 2.234860897064209, 2.129851818084717, 1.3275667428970337, 0.0014821733348071575, 2.7044452508562244e-06]",8.858205795288086,"[64.17066192626953, 8.431612014770508, 4.458005428314209, 6.3990092277526855, 15.097935676574707, 31.31047821044922, 0.22218057513237, 0.0003109327226411551]","[7.244205362716184, 0.9518419654751649, 0.5032627973811062, 0.7223820913210763, 1.7044010971844545, 3.534629803600193, 0.025081893587362094, 3.5101094942561444e-05]","[34.116336822509766, 3.8212342262268066, 1.916770100593567, 2.863269567489624, 7.088725566864014, 23.584861755371094, 149.90086364746094, 114.54743194580078]","[470.1269836425781, 8.088549613952637, 3.298837900161743, 5.389153480529785, 36.19147491455078, 104.32086181640625, 0.3265322744846344, 4.741304564959137e-06]","[0.8270521483704698, 0.1082964633463909, 0.08353618100148018, 0.09507406217501341, 0.2706094420740052, 0.3761280304089266, 0.16591064860351593, 0.0017214152989485747]"
8500,1.3900916576385498,"[1.279461145401001, 2.0533626079559326, 2.298387050628662, 2.193415880203247, 1.842415452003479, 1.44929039478302, 0.004398501943796873, 2.2965980406297604e-06]",11.248348236083984,"[13.226093292236328, 19.39737319946289, 4.848944664001465, 9.933586120605469, 33.272605895996094, 58.84380340576172, 1.571032166481018, 0.00024473690427839756]","[1.1758253758367707, 1.7244641428540906, 0.4310805962111272, 0.8831150949558227, 2.9579992722184483, 5.231328384464001, 0.139667810198234, 2.1757586015455778e-05]","[10.337237358093262, 9.446638107299805, 2.1097164154052734, 4.528820514678955, 18.05923080444336, 40.601802825927734, 357.173583984375, 106.10297393798828]","[46.388118743896484, 96.40406036376953, 2.764061689376831, 34.213905334472656, 261.1624755859375, 567.2828369140625, 3.987481117248535, -0.00010839770402526483]","[0.31180740530929746, 0.44183859709445544, 0.05067709953637052, 0.3062018673986774, 0.6978068165778337, 0.8570578858081004, 0.22564452956209452, -0.03937602463633574]"
9000,1.3780179023742676,"[1.440764307975769, 2.144968271255493, 2.240251302719116, 2.2204995155334473, 1.9099631309509277, 1.0639104843139648, 0.003783024614676833, 3.0099415653239703e-06]",4.365706920623779,"[10.43174934387207, 20.875988006591797, 7.025250434875488, 15.54128646850586, 13.265524864196777, 9.282560348510742, 1.1132210493087769, 0.0002772896841634065]","[2.3894754122389794, 4.781811602600433, 1.6091896599123308, 3.5598556547825466, 3.0385743031741073, 2.1262445045634064, 0.2549921626781392, 6.351541438878514e-05]","[7.240427494049072, 9.732539176940918, 3.135920763015747, 6.99900484085083, 6.945435047149658, 8.724945068359375, 294.26666259765625, 91.8195571899414]","[20.443984985351562, 60.95222091674805, 7.6741719245910645, 24.207612991333008, 25.691980361938477, 13.324474334716797, 0.180696502327919, 3.617969196056947e-05]","[0.4489043696965561, 0.6687871480133517, 0.25021603436851414, 0.35678815241358314, 0.4436276087127948, 0.3287969089463819, 0.03718037445462013, 0.02988660437184273]"
9500,1.3200210332870483,"[1.2618998289108276, 2.0650601387023926, 2.1912317276000977, 2.1499695777893066, 1.8869602680206299, 1.0019216537475586, 0.0030933008529245853, 3.144151560263708e-05]",13.959756851196289,"[25.80264663696289, 39.43280792236328, 11.741250991821289, 19.918766021728516, 31.83965301513672, 48.442317962646484, 1.0322949886322021, 0.012119307182729244]","[1.8483593168567058, 2.8247489080717094, 0.8410784741437037, 1.426870556131611, 2.2808171628296092, 3.47014052458193, 0.07394792041408221, 0.0008681603348765114]","[20.447460174560547, 19.095233917236328, 5.358288288116455, 9.264673233032227, 16.873516082763672, 48.34940719604492, 333.7184753417969, 385.3330078125]","[195.68862915039062, 351.11822509765625, 80.21897888183594, 161.8492431640625, 290.90478515625, 476.67620849609375, 2.556844472885132, -0.014425035566091537]","[0.543279705692841, 0.6378489064382662, 0.4894235959208668, 0.5820635300893006, 0.6544925162864007, 0.7048889564058002, 0.17742819676849553, -0.0852631248456866]"
10000,1.332086205482483,"[1.2442266941070557, 2.012239933013916, 2.2729034423828125, 2.2050771713256836, 1.799359917640686, 1.1001121997833252, 0.02276972308754921, 2.8312138056207914e-07]",5.499917984008789,"[21.15009117126465, 15.21504020690918, 6.581286430358887, 7.533735275268555, 21.794870376586914, 23.56361961364746, 6.149206161499023, 2.85764745058259e-05]","[3.8455284665624663, 2.7664121994450572, 1.1966153767191103, 1.3697904763622226, 3.962762797546489, 4.2843583635537, 1.1180541563307058, 5.195800117185935e-06]","[16.99858283996582, 7.561245918273926, 2.8955416679382324, 3.4165403842926025, 12.112567901611328, 21.419286727905273, 270.0605163574219, 97.49024200439453]","[60.170982360839844, 30.8843994140625, 3.390063762664795, 7.5495405197143555, 54.776939392089844, 77.41242980957031, 7.808439254760742, -9.43988015933428e-06]","[0.5172716119675416, 0.36907093303183863, 0.09365713339197537, 0.1822023405215259, 0.4569695470157151, 0.5973274631911288, 0.23088141167705606, -0.060062253000114384]"
10500,1.3243756294250488,"[1.2212786674499512, 1.913954257965088, 2.2344393730163574, 2.1571478843688965, 1.9230289459228516, 1.143532633781433, 0.0016228037420660257, 6.612306151509983e-07]",4.741219520568848,"[7.851699352264404, 21.060850143432617, 10.485594749450684, 18.415063858032227, 16.955224990844727, 13.918437004089355, 0.3844905495643616, 0.00011840857041534036]","[1.6560505832310342, 4.442074460392366, 2.211581789023055, 3.8840352736552477, 3.576131608605723, 2.9356238292082777, 0.08109528527340382, 2.4974285603450356e-05]","[6.429080963134766, 11.003841400146484, 4.692718505859375, 8.536764144897461, 8.816937446594238, 12.171438217163086, 236.9283447265625, 176.4051971435547]","[9.993947982788086, 48.34165954589844, 8.496492385864258, 43.828880310058594, 39.88996887207031, 29.423019409179688, -0.1406332403421402, -3.454874240560457e-05]","[0.26846233244144435, 0.4841228638123883, 0.1709056969922159, 0.501992331581746, 0.4962152149608522, 0.4458684129307159, -0.07714579342067841, -0.061540219627405704]"
11000,1.3903834819793701,"[1.445897102355957, 2.1634466648101807, 2.322976589202881, 2.2366652488708496, 1.988722324371338, 0.963557243347168, 0.0018022949807345867, 2.663576594841288e-07]",15.51650333404541,"[43.23103713989258, 28.392202377319336, 17.158119201660156, 12.511454582214355, 42.1051139831543, 61.173274993896484, 0.1842665821313858, 3.932817344320938e-05]","[2.7861326878355093, 1.8298067397068007, 1.1057980546437165, 0.8063320912490928, 2.713569744207105, 3.9424652369760165, 0.011875522349618473, 2.5346028416671548e-06]","[29.89910888671875, 13.123597145080566, 7.386264324188232, 5.593798637390137, 21.17194175720215, 63.48691177368164, 102.23939514160156, 142.3089599609375]","[316.1327209472656, 217.55581665039062, 132.341064453125, 90.53577423095703, 456.2574768066406, 713.1383666992188, 0.13387008011341095, -7.035282033029944e-05]","[0.47128100469838574, 0.4938303281203865, 0.49708548718077605, 0.46635706141727695, 0.6983631061896978, 0.7513083425697923, 0.046821258604529736, -0.11528793934828485]"
11500,1.2204164266586304,"[0.8973241448402405, 2.0023021697998047, 2.204803705215454, 2.0110104084014893, 1.6695263385772705, 0.9772090911865234, 0.0011554965749382973, 1.4156096028727916e-07]",11.027941703796387,"[10.869327545166016, 27.54197883605957, 15.133951187133789, 23.580015182495117, 25.934406280517578, 56.58632278442383, 0.13501405715942383, 1.2168666216894053e-05]","[0.9856170659139621, 2.4974722913685876, 1.372327819063815, 2.1382063684991786, 2.3516996169457096, 5.131177177418692, 0.012242906317952789, 1.1034394761721465e-06]","[12.113044738769531, 13.755155563354492, 6.864080905914307, 11.725457191467285, 15.533989906311035, 57.90605545043945, 116.84403228759766, 80.28892517089844]","[26.99701690673828, 55.25099182128906, 58.56416702270508, 133.46630859375, 191.1637725830078, 507.1112976074219, 0.3704354166984558, 1.12575689854566e-05]","[0.2252260604995534, 0.18190744611656914, 0.35090146390560595, 0.5132549031310647, 0.6683975062670097, 0.8126384212850851, 0.24879351304295355, 0.08388941707512937]"
12000,1.2331759929656982,"[1.2042570114135742, 2.0114076137542725, 2.153238534927368, 1.9741122722625732, 1.6501829624176025, 0.8702985048294067, 0.0019098875345662236, 3.1851146786721074e-07]",8.895379066467285,"[11.721593856811523, 22.916236877441406, 9.886770248413086, 16.016826629638672, 34.615333557128906, 34.85477066040039, 0.6041132807731628, 2.6472274839761667e-05]","[1.3177171843073172, 2.576195652395325, 1.111450133213887, 1.8005783126226684, 3.8913837508755043, 3.918300771666005, 0.06791315763602199, 2.9759580386578037e-06]","[9.733465194702148, 11.393134117126465, 4.59158182144165, 8.113432884216309, 20.97666358947754, 40.04921340942383, 316.3066711425781, 80.5824966430664]","[35.11228561401367, 90.23896026611328, 33.66603469848633, 33.56244659423828, 230.60235595703125, 210.83367919921875, -0.9936014413833618, 9.025505278259516e-06]","[0.3367502845588952, 0.4426763497830437, 0.3828010011302502, 0.2355660379679669, 0.7489119480267307, 0.6800068668298924, -0.18489678928514108, 0.038327968564446036]"
12500,1.2307486534118652,"[1.102508783340454, 2.060478687286377, 2.2672643661499023, 2.101501941680908, 1.5012011528015137, 0.8116534948348999, 0.0013803557958453894, 3.4272545690328116e-07]",7.99162483215332,"[14.627815246582031, 21.29839515686035, 11.139402389526367, 17.1114559173584, 30.573179244995117, 15.032211303710938, 0.3365086019039154, 4.248247205396183e-05]","[1.8303931370412703, 2.665089466058126, 1.3938845508248023, 2.1411735756804497, 3.8256524658149225, 1.8809956197181184, 0.042107657575467555, 5.3158741740526684e-06]","[13.267753601074219, 10.336625099182129, 4.913146495819092, 8.142488479614258, 20.36581039428711, 18.520477294921875, 243.7821807861328, 120.44061279296875]","[47.15631866455078, 91.87947845458984, 43.770652770996094, 85.05484008789062, 187.80865478515625, 55.013916015625, 0.24471797049045563, -8.232676918851212e-06]","[0.4033901967446509, 0.5398045653119931, 0.4916839631718363, 0.6219808047485129, 0.7686699650075686, 0.45794634858173283, 0.09099857769385135, -0.02424913237498939]"
13000,1.287748098373413,"[1.1906170845031738, 2.044184684753418, 2.354879379272461, 2.2783901691436768, 1.673115611076355, 0.7594443559646606, 0.001351475017145276, 2.400872290309053e-06]",11.767062187194824,"[34.85429000854492, 19.007293701171875, 27.29904556274414, 21.243122100830078, 41.495418548583984, 40.76396179199219, 0.11528512090444565, 0.0003055608831346035]","[2.962021399570245, 1.6152964434789874, 2.3199542186877844, 1.8053038016529996, 3.526404287532381, 3.464242913269586, 0.009797273021120042, 2.596747414721081e-05]","[29.274139404296875, 9.298227310180664, 11.592544555664062, 9.323741912841797, 24.801284790039062, 53.6760368347168, 85.30255126953125, 126.74288177490234]","[103.75489807128906, 52.66759490966797, 162.91128540039062, 125.77047729492188, 349.38653564453125, 313.1529235839844, 0.06616432219743729, 0.00010347663192078471]","[0.2529789111421923, 0.23548061013679497, 0.5071490990988682, 0.5031440196711526, 0.7155466723158693, 0.6528479370551419, 0.04877334704419655, 0.028779051684661317]"
13500,1.2236319780349731,"[1.1662845611572266, 1.9809722900390625, 2.0618906021118164, 1.9542346000671387, 1.6909735202789307, 0.9306821227073669, 0.004016971215605736, 7.953407248351141e-07]",15.807374000549316,"[64.81522369384766, 45.0279541015625, 13.82649040222168, 15.691510200500488, 28.465917587280273, 51.128414154052734, 1.555059790611267, 9.063727338798344e-05]","[4.100315693903066, 2.8485410732989394, 0.8746861054683214, 0.9926702689488588, 1.8007999042909382, 3.234466025304139, 0.09837559297054829, 5.733860246795814e-06]","[55.5741081237793, 22.7302303314209, 6.7057342529296875, 8.029491424560547, 16.83403968811035, 54.93649673461914, 387.12152099609375, 112.54525756835938]","[721.7877807617188, 427.99896240234375, 60.35712432861328, 20.857463836669922, 253.3819580078125, 510.6876525878906, 3.9134676456451416, -2.7416324883233756e-05]","[0.7044866579532308, 0.6013132485931504, 0.27615750775933484, 0.08408858162495204, 0.5631067993894069, 0.6318781040525567, 0.15920434891469395, -0.01913562611112346]"
